lexeme,cell,form,tier,slot,formative
butaf'or,nominative.singular,b u t a f 'o r,segmental,0,butafor
butaf'or,genitive.singular,b u t a f 'o r a,segmental,0,butafor
butaf'or,genitive.singular,b u t a f 'o r a,segmental,1,a
butaf'or,dative.singular,b u t a f 'o r u,segmental,0,butafor
butaf'or,dative.singular,b u t a f 'o r u,segmental,3,u
butaf'or,accusative.singular,b u t a f 'o r a,segmental,0,butafor
butaf'or,accusative.singular,b u t a f 'o r a,segmental,1,a
butaf'or,instrumental.singular,b u t a f 'o r o m,segmental,0,butafor
butaf'or,instrumental.singular,b u t a f 'o r o m,segmental,1,o
butaf'or,instrumental.singular,b u t a f 'o r o m,segmental,2,m
butaf'or,prepositional.singular,b u t a f 'o rʲ e,segmental,0,butafor
butaf'or,prepositional.singular,b u t a f 'o rʲ e,segmental,3,e
butaf'or,nominative.plural,b u t a f 'o r ɨ,segmental,0,butafor
butaf'or,nominative.plural,b u t a f 'o r ɨ,segmental,3,ɨ
butaf'or,genitive.plural,b u t a f 'o r o v,segmental,0,butafor
butaf'or,genitive.plural,b u t a f 'o r o v,segmental,1,o
butaf'or,genitive.plural,b u t a f 'o r o v,segmental,3,v
butaf'or,dative.plural,b u t a f 'o r a m,segmental,0,butafor
butaf'or,dative.plural,b u t a f 'o r a m,segmental,1,a
butaf'or,dative.plural,b u t a f 'o r a m,segmental,2,m
butaf'or,accusative.plural,b u t a f 'o r o v,segmental,0,butafor
butaf'or,accusative.plural,b u t a f 'o r o v,segmental,1,o
butaf'or,accusative.plural,b u t a f 'o r o v,segmental,3,v
butaf'or,instrumental.plural,b u t a f 'o r a mʲ i,segmental,0,butafor
butaf'or,instrumental.plural,b u t a f 'o r a mʲ i,segmental,1,a
butaf'or,instrumental.plural,b u t a f 'o r a mʲ i,segmental,2,m
butaf'or,instrumental.plural,b u t a f 'o r a mʲ i,segmental,3,i
butaf'or,prepositional.plural,b u t a f 'o r a x,segmental,0,butafor
butaf'or,prepositional.plural,b u t a f 'o r a x,segmental,1,a
butaf'or,prepositional.plural,b u t a f 'o r a x,segmental,3,x
butaf'or,prepositional.singular,b u t a f 'o rʲ e,palatalization,0,ʲ
butaf'or,instrumental.plural,b u t a f 'o r a mʲ i,palatalization,0,ʲ
butaf'or,nominative.singular,b u t a f 'o r,stress,0,'
butaf'or,genitive.singular,b u t a f 'o r a,stress,0,'
butaf'or,dative.singular,b u t a f 'o r u,stress,0,'
butaf'or,accusative.singular,b u t a f 'o r a,stress,0,'
butaf'or,instrumental.singular,b u t a f 'o r o m,stress,0,'
butaf'or,prepositional.singular,b u t a f 'o rʲ e,stress,0,'
butaf'or,nominative.plural,b u t a f 'o r ɨ,stress,0,'
butaf'or,genitive.plural,b u t a f 'o r o v,stress,0,'
butaf'or,dative.plural,b u t a f 'o r a m,stress,0,'
butaf'or,accusative.plural,b u t a f 'o r o v,stress,0,'
butaf'or,instrumental.plural,b u t a f 'o r a mʲ i,stress,0,'
butaf'or,prepositional.plural,b u t a f 'o r a x,stress,0,'
f'ukus,nominative.singular,f 'u k u s,segmental,0,fukus
f'ukus,genitive.singular,f 'u k u s a,segmental,0,fukus
f'ukus,genitive.singular,f 'u k u s a,segmental,1,a
f'ukus,dative.singular,f 'u k u s u,segmental,0,fukus
f'ukus,dative.singular,f 'u k u s u,segmental,3,u
f'ukus,accusative.singular,f 'u k u s,segmental,0,fukus
f'ukus,instrumental.singular,f 'u k u s o m,segmental,0,fukus
f'ukus,instrumental.singular,f 'u k u s o m,segmental,1,o
f'ukus,instrumental.singular,f 'u k u s o m,segmental,2,m
f'ukus,prepositional.singular,f 'u k u sʲ e,segmental,0,fukus
f'ukus,prepositional.singular,f 'u k u sʲ e,segmental,3,e
f'ukus,nominative.plural,f 'u k u s ɨ,segmental,0,fukus
f'ukus,nominative.plural,f 'u k u s ɨ,segmental,3,ɨ
f'ukus,genitive.plural,f 'u k u s o v,segmental,0,fukus
f'ukus,genitive.plural,f 'u k u s o v,segmental,1,o
f'ukus,genitive.plural,f 'u k u s o v,segmental,3,v
f'ukus,dative.plural,f 'u k u s a m,segmental,0,fukus
f'ukus,dative.plural,f 'u k u s a m,segmental,1,a
f'ukus,dative.plural,f 'u k u s a m,segmental,2,m
f'ukus,accusative.plural,f 'u k u s ɨ,segmental,0,fukus
f'ukus,accusative.plural,f 'u k u s ɨ,segmental,3,ɨ
f'ukus,instrumental.plural,f 'u k u s a mʲ i,segmental,0,fukus
f'ukus,instrumental.plural,f 'u k u s a mʲ i,segmental,1,a
f'ukus,instrumental.plural,f 'u k u s a mʲ i,segmental,2,m
f'ukus,instrumental.plural,f 'u k u s a mʲ i,segmental,3,i
f'ukus,prepositional.plural,f 'u k u s a x,segmental,0,fukus
f'ukus,prepositional.plural,f 'u k u s a x,segmental,1,a
f'ukus,prepositional.plural,f 'u k u s a x,segmental,3,x
f'ukus,prepositional.singular,f 'u k u sʲ e,palatalization,0,ʲ
f'ukus,instrumental.plural,f 'u k u s a mʲ i,palatalization,0,ʲ
f'ukus,nominative.singular,f 'u k u s,stress,0,'
f'ukus,genitive.singular,f 'u k u s a,stress,0,'
f'ukus,dative.singular,f 'u k u s u,stress,0,'
f'ukus,accusative.singular,f 'u k u s,stress,0,'
f'ukus,instrumental.singular,f 'u k u s o m,stress,0,'
f'ukus,prepositional.singular,f 'u k u sʲ e,stress,0,'
f'ukus,nominative.plural,f 'u k u s ɨ,stress,0,'
f'ukus,genitive.plural,f 'u k u s o v,stress,0,'
f'ukus,dative.plural,f 'u k u s a m,stress,0,'
f'ukus,accusative.plural,f 'u k u s ɨ,stress,0,'
f'ukus,instrumental.plural,f 'u k u s a mʲ i,stress,0,'
f'ukus,prepositional.plural,f 'u k u s a x,stress,0,'
